------------------------------------------------------------------------------
|      Name|   Arrival|     Burst|     Start|    Finish|   Waiting|TurnAround|
------------------------------------------------------------------------------
|         2|         7|       234|         7|       241|         0|       234|
|         9|        10|       357|       241|       598|       231|       588|
|        11|        10|       211|       598|       809|       588|       799|
|        15|        14|       422|       809|      1231|       795|      1217|
|        19|        22|       391|      1231|      1622|      1209|      1600|
|         8|        23|       268|      1622|      1890|      1599|      1867|
|         1|        30|       295|      1890|      2185|      1860|      2155|
|         7|        30|        28|      2185|      2213|      2155|      2183|
|        35|        36|       326|      2213|      2539|      2177|      2503|
|        34|        47|       144|      2539|      2683|      2492|      2636|
|        33|        48|       206|      2683|      2889|      2635|      2841|
|        32|        49|       407|      2889|      3296|      2840|      3247|
|        50|        49|        49|      3296|      3345|      3247|      3296|
|        24|        52|       245|      3345|      3590|      3293|      3538|
|         4|        54|       452|      3590|      4042|      3536|      3988|
|        27|        54|        68|      4042|      4110|      3988|      4056|
|        51|        56|       425|      4110|      4535|      4054|      4479|
|        23|        57|       288|      4535|      4823|      4478|      4766|
|        48|        57|        10|      4823|      4833|      4766|      4776|
|        18|        58|       371|      4833|      5204|      4775|      5146|
|        59|        58|       259|      5204|      5463|      5146|      5405|
|        57|        59|        31|      5463|      5494|      5404|      5435|
|        16|        62|       384|      5494|      5878|      5432|      5816|
|        30|        62|       166|      5878|      6044|      5816|      5982|
|        37|        62|        69|      6044|      6113|      5982|      6051|
|        22|        63|        70|      6113|      6183|      6050|      6120|
|        43|        63|       430|      6183|      6613|      6120|      6550|
|        45|        63|       236|      6613|      6849|      6550|      6786|
|         6|        64|       261|      6849|      7110|      6785|      7046|
|        31|        69|       342|      7110|      7452|      7041|      7383|
|        26|        70|       346|      7452|      7798|      7382|      7728|
|        12|        71|       263|      7798|      8061|      7727|      7990|
|        39|        71|       355|      8061|      8416|      7990|      8345|
|        60|        71|       269|      8416|      8685|      8345|      8614|
|        58|        72|       270|      8685|      8955|      8613|      8883|
|        20|        76|       142|      8955|      9097|      8879|      9021|
|        53|        76|       134|      9097|      9231|      9021|      9155|
|         3|        77|       400|      9231|      9631|      9154|      9554|
|        55|        77|       258|      9631|      9889|      9554|      9812|
|        14|        80|       205|      9889|     10094|      9809|     10014|
|        46|        81|       156|     10094|     10250|     10013|     10169|
|        44|        82|       129|     10250|     10379|     10168|     10297|
|        10|        83|       450|     10379|     10829|     10296|     10746|
|        85|        84|       406|     10829|     11235|     10745|     11151|
|        65|        89|       161|     11235|     11396|     11146|     11307|
|        21|        94|       231|     11396|     11627|     11302|     11533|
|        56|        94|       340|     11627|     11967|     11533|     11873|
|        71|        94|        30|     11967|     11997|     11873|     11903|
|        68|        97|       167|     11997|     12164|     11900|     12067|
|        28|        98|       481|     12164|     12645|     12066|     12547|
|        98|        99|       272|     12645|     12917|     12546|     12818|
