------------------------------------------------------------------------------
|      Name|   Arrival|     Burst|     Start|    Finish|   Waiting|TurnAround|
------------------------------------------------------------------------------
|         2|         7|       234|         7|     54481|         0|       234|
|         9|        10|       357|       241|    130713|       234|       591|
|        11|        10|       211|       598|     40531|       591|       802|
|        15|        14|       422|       809|    181852|       802|      1224|
|        19|        22|       391|      1231|    157698|      1224|      1615|
|         8|        23|       268|      1622|     73326|      1615|      1883|
|         1|        30|       295|      1890|     86752|      1883|      2178|
|         7|        30|        28|      2185|        58|      2178|      2206|
|        35|        36|       326|      2213|    109606|      2206|      2532|
|        34|        47|       144|      2539|     22994|      2532|      2676|
|        33|        48|       206|      2683|     45097|      2676|      2882|
|        32|        49|       407|      2889|    166509|      2882|      3289|
|        50|        49|        49|      3296|      2339|      3289|      3338|
|        24|        52|       245|      3345|     61827|      3338|      3583|
|         4|        54|       452|      3590|    205839|      3583|      4035|
|        27|        54|        68|      4042|      4296|      4035|      4103|
|        51|        56|       425|      4110|    183545|      4103|      4528|
|        23|        57|       288|      4535|     83257|      4528|      4816|
|        48|        57|        10|      4823|        68|      4816|      4826|
|        18|        58|       371|      4833|    139819|      4826|      5197|
|        59|        58|       259|      5204|     68851|      5197|      5456|
|        57|        59|        31|      5463|        99|      5456|      5487|
|        16|        62|       384|      5494|    151103|      5487|      5871|
|        30|        62|       166|      5878|     29626|      5871|      6037|
|        37|        62|        69|      6044|      4637|      6037|      6106|
|        22|        63|        70|      6113|      4845|      6106|      6176|
|        43|        63|       430|      6183|    189951|      6176|      6606|
|        45|        63|       236|      6613|     57976|      6606|      6842|
|         6|        64|       261|      6849|     69890|      6842|      7103|
|        31|        69|       342|      7110|    120914|      7103|      7445|
|        26|        70|       346|      7452|    122982|      7445|      7791|
|        12|        71|       263|      7798|     70676|      7791|      8054|
|        39|        71|       355|      8061|    128934|      8054|      8409|
|        60|        71|       269|      8416|     74131|      8409|      8678|
|        58|        72|       270|      8685|     74939|      8678|      8948|
|        20|        76|       142|      8955|     22564|      8948|      9090|
|        53|        76|       134|      9097|     20625|      9090|      9224|
|         3|        77|       400|      9231|    160861|      9224|      9624|
|        55|        77|       258|      9631|     68334|      9624|      9882|
|        14|        80|       205|      9889|     44686|      9882|     10087|
|        46|        81|       156|     10094|     26723|     10087|     10243|
|        44|        82|       129|     10250|     18395|     10243|     10372|
|        10|        83|       450|     10379|    204937|     10372|     10822|
|        85|        84|       406|     10829|    165696|     10822|     11228|
|        65|        89|       161|     11235|     27988|     11228|     11389|
|        21|        94|       231|     11396|     54712|     11389|     11620|
|        56|        94|       340|     11627|    119210|     11620|     11960|
|        71|        94|        30|     11967|       140|     11960|     11990|
|        68|        97|       167|     11997|     30125|     11990|     12157|
|        28|        98|       481|     12164|    225436|     12157|     12638|
|        98|        99|       272|     12645|     76023|     12638|     12910|
|        25|       100|       246|     12917|     62563|     12910|     13156|
|       100|       100|        82|     13163|      6792|     13156|     13238|
|        47|       101|       430|     13245|    190381|     13238|     13668|
|       101|       101|       319|     13675|    104124|     13668|     13987|
|        40|       102|        11|     13994|       113|     13987|     13998|
|         5|       103|       365|     14005|    135400|     13998|     14363|
|        75|       103|       353|     14370|    127518|     14363|     14716|
|        95|       103|       137|     14723|     21165|     14716|     14853|
|        13|       105|       360|     14860|    132506|     14853|     15213|
