------------------------------------------------------------------------------
|      Name|   Arrival|     Burst|     Start|    Finish|   Waiting|TurnAround|
------------------------------------------------------------------------------
|         2|         7|       234|         7|       241|         0|       234|
|         9|        10|       357|       241|    130713|    130346|    130703|
|        11|        10|       211|       598|     47200|     46979|     47190|
|        15|        14|       422|       809|    181852|    181416|    181838|
|        19|        22|       391|      1231|    157698|    157285|    157676|
|         8|        23|       268|      1622|     73326|     73035|     73303|
|         1|        30|       295|      1890|     86752|     86427|     86722|
|         7|        30|        28|      2185|       834|       776|       804|
|        35|        36|       326|      2213|    109606|    109244|    109570|
|        34|        47|       144|      2539|     23205|     23014|     23158|
|        33|        48|       206|      2683|     45117|     44863|     45069|
|        32|        49|       407|      2889|    166509|    166053|    166460|
|        50|        49|        49|      3296|      2550|      2452|      2501|
|        24|        52|       245|      3345|     61827|     61530|     61775|
|         4|        54|       452|      3590|    205839|    205333|    205785|
|        27|        54|        68|      4042|      4507|      4385|      4453|
|        51|        56|       425|      4110|    183545|    183064|    183489|
|        23|        57|       288|      4535|     83257|     82912|     83200|
|        48|        57|        10|      4823|       259|       192|       202|
|        18|        58|       371|      4833|    139819|    139390|    139761|
|        59|        58|       259|      5204|     68851|     68534|     68793|
|        57|        59|        31|      5463|      1294|      1204|      1235|
|        16|        62|       384|      5494|    151103|    150657|    151041|
|        30|        62|       166|      5878|     29837|     29609|     29775|
|        37|        62|        69|      6044|      4848|      4717|      4786|
|        22|        63|        70|      6113|      5056|      4923|      4993|
|        43|        63|       430|      6183|    189951|    189458|    189888|
|        45|        63|       236|      6613|     57976|     57677|     57913|
|         6|        64|       261|      6849|     69890|     69565|     69826|
|        31|        69|       342|      7110|    120914|    120503|    120845|
|        26|        70|       346|      7452|    122982|    122566|    122912|
|        12|        71|       263|      7798|     70676|     70342|     70605|
|        39|        71|       355|      8061|    128934|    128508|    128863|
|        60|        71|       269|      8416|     74131|     73791|     74060|
|        58|        72|       270|      8685|     74939|     74597|     74867|
|        20|        76|       142|      8955|     22775|     22557|     22699|
|        53|        76|       134|      9097|     20836|     20626|     20760|
|         3|        77|       400|      9231|    160861|    160384|    160784|
|        55|        77|       258|      9631|     68334|     67999|     68257|
|        14|        80|       205|      9889|     44706|     44421|     44626|
|        46|        81|       156|     10094|     26934|     26697|     26853|
|        44|        82|       129|     10250|     18606|     18395|     18524|
|        10|        83|       450|     10379|    204937|    204404|    204854|
|        85|        84|       406|     10829|    165696|    165206|    165612|
|        65|        89|       161|     11235|     28199|     27949|     28110|
|        21|        94|       231|     11396|     54712|     54387|     54618|
|        56|        94|       340|     11627|    119210|    118776|    119116|
|        71|        94|        30|     11967|      1233|      1109|      1139|
|        68|        97|       167|     11997|     30336|     30072|     30239|
|        28|        98|       481|     12164|    225436|    224857|    225338|
|        98|        99|       272|     12645|     76023|     75652|     75924|
