       Numer  Cylinder  RealTime  Deadline
         1        25     false         0
         2        19     false         0
         3        12      true      2467
         4        13      true      2784
         5        24     false         0
         6         1      true      2002
         7        20      true      1513
         8         4     false         0
         9         6     false         0
        10        16     false         0
        11        30     false         0
        12        36     false         0
        13        44     false         0
        14        46     false         0
        15        39      true      1508
        16        38     false         0
        17        34      true      1018
        18        35      true      1938
        19        45     false         0
        20        49      true      2564
        21        78     false         0
        22        75     false         0
        23        66     false         0
        24        84      true      2051
        25        85     false         0
        26        60     false         0
        27        71     false         0
        28        79     false         0
        29        77      true      2168
        30        65     false         0
