       Numer  Cylinder  RealTime  Deadline
         1        25     false         0
         2        19     false         0
         3        12     false         0
         4        13     false         0
         5        24     false         0
         6         1     false         0
         7        20     false         0
         8         4     false         0
         9         6     false         0
        10        16     false         0
        11        30     false         0
        12        36     false         0
        13        44     false         0
        14        46     false         0
        15        39     false         0
        16        38     false         0
        17        34     false         0
        18        35     false         0
        19        45     false         0
        20        49     false         0
        21        78     false         0
        22        75     false         0
        23        66     false         0
        24        84     false         0
        25        85     false         0
        26        60     false         0
        27        71     false         0
        28        79     false         0
        29        77     false         0
        30        65     false         0
